# Demostene — orazioni datatissime dal contesto politico
# id | genere | opere | titolo italiano | titolo originale

tlg0014.tlg001 | oratoria | Prima Olintiaca | Ὀλυνθιακὸς α΄
tlg0014.tlg002 | oratoria | Seconda Olintiaca | Ὀλυνθιακὸς β΄
tlg0014.tlg003 | oratoria | Terza Olintiaca | Ὀλυνθιακὸς γ΄
tlg0014.tlg004 | oratoria | Prima Filippica | κατὰ Φιλίππου α΄
tlg0014.tlg005 | oratoria | Sulla pace | περὶ τῆς εἰρήνης
tlg0014.tlg006 | oratoria | Seconda Filippica | κατὰ Φιλίππου β΄
tlg0014.tlg007 | oratoria | Su Alonneso | περὶ Ἀλοννήσου
tlg0014.tlg008 | oratoria | Sul Chersoneso | περὶ τῶν ἐν Χερρονήσῳ
tlg0014.tlg009 | oratoria | Terza Filippica | κατὰ Φιλίππου γ΄
tlg0014.tlg010 | oratoria | Quarta Filippica | κατὰ Φιλίππου δ΄
tlg0014.tlg011 | oratoria | Risposta alla lettera di Filippo | πρὸς τὴν ἐπιστολήν τὴν Φιλίππου
tlg0014.tlg012 | oratoria | Lettera di Filippo | ἐπιστολή [Φιλίππου]
tlg0014.tlg013 | oratoria | Sull'ordinamento finanziario | περὶ συντάξεως
tlg0014.tlg014 | oratoria | Sulle simmorie | περὶ τῶν συμμοριῶν
tlg0014.tlg015 | oratoria | Per la libertà dei Rodii | ὑπὲρ τῆς Ῥοδίων ἐλευθερίας
tlg0014.tlg016 | oratoria | Per i Megalopolitani | ὑπὲρ Μεγαλοπολιτῶν
tlg0014.tlg017 | oratoria | Sui trattati con Alessandro | περὶ τῶν πρὸς Ἀλέξανδρον συνθηκῶν
tlg0014.tlg018 | oratoria | Sulla corona | ὑπὲρ Κτησιφῶντος περὶ τοῦ στεφάνου
tlg0014.tlg019 | oratoria | Sull'ambasceria | περὶ τῆς παραπρεσβείας
tlg0014.tlg020 | oratoria | Contro Leptine | περὶ τῆς Ἀτελείας πρὸς Λεπτίνην
