# LOTTO 09 — 58 opere, 58 autori
# riga: id | genere | titolo italiano | titolo originale

### Beda il Venerabile — latino, tarda (1 opera)
stoa0054.stoa006 | storiografia | Historiam ecclesiasticam gentis Anglorum | 

### Catone — latino, arcaica (1 opera)
stoa0079.stoa001 | tecnica | L'agricoltura | De agri cultura

### Celso — latino, imperiale (1 opera)
phi0836.phi002 | medicina | De Medicina | 

### Columella — latino, imperiale (1 opera)
phi0845.phi002 | tecnica | Res Rustica. Books I-IX | Res Rustica

### Curzio Rufo — latino, imperiale (1 opera)
phi0860.phi001 | storiografia | Historiarum Alexandri Magni, Historiarum Alexandri Magni Macedonis libri qui supersunt | Historiarum Alexandri Magni

### Fedro — latino, imperiale (1 opera)
phi0975.phi001 | favola | Favole | Fabulae Aesopiae

### Floro — latino, imperiale (1 opera)
phi1242.phi001 | storiografia | Epitome Rerum Romanorum | 

### Minucio Felice — latino, tarda (1 opera)
stoa0203.stoa001 | religione | Octavius | 

### Plinio il Vecchio — latino, imperiale (1 opera)
phi0978.phi001 | scienze | Storia naturale | Naturalis Historia, C. Plini Secundi naturalis historiae libri XXXVII

### Pseudo-Tertulliano — latino, tarda (1 opera)
stoa0276.stoa002 | religione | Ad Uxorem | 

### Quinto Tullio Cicerone — latino, repubblicana (1 opera)
phi0478.phi003 | epistolografia | Commentariolum Petitionis | 

### Silio Italico — latino, imperiale (1 opera)
phi1345.phi001 | epica | Punica | 

### Valerio Flacco — latino, imperiale (1 opera)
phi1035.phi001 | epica | Argonautica | 

### Valerio Massimo — latino, imperiale (1 opera)
phi1038.phi001 | erudizione | Facta et Dicta Memorabilia | 

### Vitruvio — latino, augustea (1 opera)
phi1056.phi001 | tecnica | De architectura | 

### Achille Tazio — greco, imperiale (1 opera)
tlg0532.tlg001 | romanzo | τὰ κατὰ Λευκίππην καὶ Kλειτoφῶντα | Leucippe and Clitophon

### Agatemero — greco, imperiale (1 opera)
tlg0090.tlg001 | geografia | Geographiae informatio, Geographi graeci minores Volumen Secundum | Geographiae informatio

### Antologia Palatina — greco, ellenistica (1 opera)
tlg7000.tlg001 | antologia | Ἀνθολογία, Volume V | Greek Anthology

### Arato — greco, ellenistica (1 opera)
tlg0653.tlg001 | didascalica | Φαινόμενα | Phaenomena

### Arpocrazione — greco, imperiale (1 opera)
tlg1389.tlg001 | erudizione | Lexicon in decem oratores Atticos | 

### Asclepiodoto — greco, ellenistica (1 opera)
tlg0556.tlg001 | tecnica | Τέχνη τακτική | Tactica

### Ateneo — greco, imperiale (1 opera)
tlg0008.tlg001 | erudizione | Δειπνοσοφισταί | Deipnosophistae

### Callistrato — greco, tarda (1 opera)
tlg4091.tlg001 | retorica | Ἐκφράσεις | Descriptiones

### Caritone — greco, imperiale (1 opera)
tlg0554.tlg001 | romanzo | De Chaerea et Callirhoe | 

### Cassio Dione — greco, imperiale (1 opera)
tlg0385.tlg001 | storiografia | Ῥωμαϊκὴ Ἱστορία (Books 36-55) | Historia Romana

### Colluto — greco, tarda (1 opera)
tlg4081.tlg001 | epica | Ἁρπαγὴ Ἑλένης | The Rape of Helen

### Demade — greco, classica (1 opera)
tlg0535.tlg001 | oratoria | Ὑπὲρ τῆς δωδεκαετίας | On the Twelve Years

### Demetrio Falereo — greco, ellenistica (1 opera)
