phi0426.phi001 | Pseudo-Cesare | La guerra africana | De bello Africo
phi0428.phi001 | Pseudo-Cesare | La guerra alessandrina | De bello Alexandrino
phi0430.phi001 | Pseudo-Cesare | La guerra ispanica | De bello Hispaniensi
phi0478.phi003 | Quinto Tullio Cicerone | Commentariolum petitionis | 
phi0692.phi006 | Appendix Vergiliana | Elegie a Mecenate | Elegiae in Maecenatem
phi0836.phi002 | Celso | Della medicina | De medicina
phi0845.phi002 | Columella | L'arte dell'agricoltura | Res rustica
phi0860.phi001 | Curzio Rufo | Storie di Alessandro Magno | Historiae Alexandri Magni
phi0972.phi001f | Petronio | Fragmenta | 
phi1014.phi004 | Seneca il Vecchio | Fragmenta | 
phi1038.phi001 | Valerio Massimo | Detti e fatti memorabili | Facta et dicta memorabilia
phi1242.phi001 | Floro | Epitome di storia romana | Epitome rerum Romanorum
phi2003.phi001 | Apicio | L'arte culinaria | De re coquinaria
stoa0045.stoa001 | Ausonio | De Bissula | 
stoa0045.stoa002 | Ausonio | Caesares | 
stoa0045.stoa003 | Ausonio | Centone nuziale | Cento nuptialis
stoa0045.stoa004 | Ausonio | Commemorazione dei professori di Bordeaux | Commemoratio professorum Burdigalensium
stoa0045.stoa005 | Ausonio | Cupido messo in croce | Cupido cruciatus
stoa0045.stoa006 | Ausonio | De herediolo | 
stoa0045.stoa007 | Ausonio | Eclogarum liber | 
stoa0045.stoa008 | Ausonio | Ephemeris | 
stoa0045.stoa009 | Ausonio | Epicedion in patrem | 
stoa0045.stoa010 | Ausonio | Epigrammi | Epigrammaton liber
stoa0045.stoa011 | Ausonio | Epistole | Epistulae
stoa0045.stoa012 | Ausonio | Epitaffi | Epitaphia
stoa0045.stoa013 | Ausonio | Genethliacon ad Ausonium nepotem | 
stoa0045.stoa014 | Ausonio | Gratiarum actio | 
stoa0045.stoa015 | Ausonio | Griphus ternarii numeri | 
stoa0045.stoa016 | Ausonio | Liber protrepticus ad nepotem | 
stoa0045.stoa017 | Ausonio | [Libri de fastis] conclusio | 
stoa0045.stoa018 | Ausonio | Ludus septem sapientum | 
stoa0045.stoa019 | Ausonio | Mosella | 
stoa0045.stoa020 | Ausonio | Oratio versibus rhopalicis | 
stoa0045.stoa021 | Ausonio | Ordine delle città celebri | Ordo urbium nobilium
stoa0045.stoa022 | Ausonio | Parentalia | 
stoa0045.stoa025 | Ausonio | Praefatiunculae | 
stoa0045.stoa026 | Ausonio | Precationes | 
stoa0045.stoa027 | Ausonio | Versus paschales | 
stoa0045.stoa028 | Ausonio | Technopaegnion | 
stoa0054.stoa006 | Beda il Venerabile | Storia ecclesiastica degli Angli | Historia ecclesiastica gentis Anglorum
stoa0058.stoa006 | Boezio | De fide catholica | 
stoa0162.stoa004 | Girolamo | Lettere | Epistulae
stoa0203.stoa001 | Minucio Felice | Ottavio | Octavius
stoa0238.stoa001 | Prudenzio | Le corone dei martiri | Liber Peristephanon
stoa0238.stoa004 | Prudenzio | Inni quotidiani | Liber Cathemerinon
stoa0238.stoa007 | Prudenzio | Contro Simmaco | Contra orationem Symmachi
stoa0261.stoa0001 | Sidonio Apollinare | Carmi | Carmina
stoa0261.stoa0002 | Sidonio Apollinare | Lettere, libri VIII-IX | Epistulae, libri VIII-IX
stoa0276.stoa002 | Pseudo-Tertulliano | Alla moglie | Ad uxorem
tlg0004.tlg001 | Diogene Laerzio | Vite e dottrine dei più celebri filosofi | Βίοι καὶ γνῶμαι τῶν ἐν φιλοσοφίᾳ εὐδοκιμησάντων
tlg0008.tlg001 | Ateneo | I Deipnosofisti | Δειπνοσοφισταί
tlg0017.tlg011 | Iseo | Per l'eredità di Agnia | Περὶ τοῦ Ἁγνίου κλήρου
tlg0017.tlg012 | Iseo | In difesa di Eufileto | Ὑπὲρ Εὐφιλήτου
tlg0023.tlg001 | Oppiano | Alieutiche | Ἁλιευτικά
tlg0024.tlg001 | Oppiano di Apamea | Cinegetiche | Κυνηγετικά
tlg0027.tlg001 | Andocide | Sui misteri | Περὶ τῶν μυστηρίων
tlg0027.tlg002 | Andocide | Sul suo ritorno | Περὶ τῆς ἑαυτοῦ καθόδου
tlg0027.tlg003 | Andocide | Sulla pace con gli Spartani | Περὶ τῆς πρὸς Λακεδαιμονίους εἰρήνης
tlg0027.tlg004 | Andocide | Contro Alcibiade | Κατὰ Ἀλκιβιάδου
tlg0028.tlg001 | Antifonte | Per avvelenamento contro la matrigna | Φαρμακείας κατὰ τῆς μητρυιᾶς
tlg0028.tlg002 | Antifonte | Prima tetralogia | Τετραλογία Α΄
tlg0028.tlg003 | Antifonte | Seconda tetralogia | Τετραλογία Β΄
tlg0028.tlg004 | Antifonte | Terza tetralogia | Τετραλογία Γ΄
tlg0028.tlg005 | Antifonte | Sull'omicidio di Erode | Περὶ τοῦ Ἡρῷδου φόνου
tlg0028.tlg006 | Antifonte | Sul coreuta | Περὶ τοῦ χορευτοῦ
tlg0029.tlg004 | Dinarco | Contro Demostene | Κατὰ Δημοσθένους
tlg0029.tlg005 | Dinarco | Contro Aristogitone | Κατὰ Ἀριστογείτονος
tlg0029.tlg006 | Dinarco | Contro Filocle | Κατὰ Φιλοκλέους
tlg0030.tlg001 | Iperide | Per Licofrone | Ἀπολογία ὑπὲρ Λυκόφρονος
tlg0030.tlg002 | Iperide | Contro Filippide | Κατὰ Φιλιππίδου
tlg0030.tlg003 | Iperide | Contro Atenogene | Κατ᾽ Ἀθηνογένους
tlg0030.tlg004 | Iperide | Per Eussenippo | Ὑπὲρ Εὐξενίππου εἰσαγγελίας ἀπολογία πρὸς Πολύευκτον
tlg0030.tlg005 | Iperide | Contro Demostene | Κατὰ Δημοσθένους ὑπὲρ τῶν Ἁρπαλείων
tlg0030.tlg006 | Iperide | Epitafio | Ἐπιτάφιος
tlg0034.tlg001 | Licurgo | Contro Leocrate | Κατὰ Λεωκράτους
tlg0035.tlg001 | Mosco | Amore fuggitivo | Ἔρως δραπέτης
tlg0035.tlg002 | Mosco | Europa | Εὐρώπη
tlg0035.tlg003 | Mosco | Epitafio di Bione | Ἐπιτάφιος Βίωνος
tlg0035.tlg004 | Mosco | Megara | Μεγάρα
tlg0035.tlg005 | Mosco | Fragmenta | 
tlg0036.tlg001 | Bione | Epitafio di Adone | Ἀδώνιδος ἐπιτάφιος
tlg0036.tlg002 | Bione | Epitalamio di Achille e Deidamia | Μύρσων καὶ Λυκίδας
tlg0036.tlg003 | Bione | Fragmenta | 
tlg0057.tlg010 | Galeno | Sulle facoltà naturali | Περὶ φυσικῶν δυνάμεων
tlg0058.tlg001 | Enea Tattico | La difesa di una città assediata | Περὶ τοῦ πῶς χρὴ πολιορκουμένους ἀντέχειν
tlg0074.tlg001 | Arriano | Anabasi di Alessandro | Ἀλεξάνδρου ἀνάβασις
tlg0074.tlg002 | Arriano | Indiké | Ἰνδική
tlg0074.tlg003 | Arriano | Cinegetico | Κυνηγετικός
tlg0074.tlg004 | Arriano | Periplo del Ponto Eusino | Περίπλους τοῦ Εὐξείνου Πόντου
tlg0074.tlg005 | Arriano | L'arte tattica | Τέχνη τακτική
tlg0074.tlg006 | Arriano | Schieramento contro gli Alani | Ἔκταξις κατὰ Ἀλανῶν
tlg0093.tlg009 | Teofrasto | I caratteri | Χαρακτῆρες
tlg0094.tlg002 | Pseudo-Plutarco | La musica | περὶ Μουσικῆς
tlg0094.tlg003 | Pseudo-Plutarco | Περὶ τῶν ἀρεσκόντων τοῖς φιλοσόφοις φυσικῶν δογμάτων | 
tlg0284.tlg001 | Elio Aristide | Inno a Zeus | Εἰς Δία
tlg0284.tlg002 | Elio Aristide | Inno ad Atena | Ἀθηνᾶ
tlg0284.tlg003 | Elio Aristide | Discorso istmico a Poseidone | Ἰσθμικὸς εἰς Ποσειδῶνα
tlg0284.tlg004 | Elio Aristide | Inno a Dioniso | Διόνυσος
tlg0284.tlg005 | Elio Aristide | Inno a Eracle | Ἡρακλῆς
tlg0284.tlg006 | Elio Aristide | Lalia per Asclepio | Λαλιὰ εἰς Ἀσκληπιόν
tlg0284.tlg007 | Elio Aristide | Gli Asclepiadi | Ἀσκληπιάδαι
tlg0284.tlg008 | Elio Aristide | Inno a Serapide | Εἰς τὸν Σάραπιν
tlg0284.tlg009 | Elio Aristide | Al re | Εἰς βασιλέα
tlg0284.tlg010 | Elio Aristide | Genetliaco per Apella | Ἀπελλᾶ γενεθλιακός
tlg0284.tlg011 | Elio Aristide | Epicedio per Eteoneo | Εἰς Ἐτεωνέα ἐπικήδειος
tlg0284.tlg012 | Elio Aristide | Epitafio per Alessandro | Ἐπὶ Ἀλεξάνδρῳ ἐπιτάφιος
tlg0284.tlg013 | Elio Aristide | Panatenaico | Παναθηναϊκός
tlg0284.tlg014 | Elio Aristide | Encomio di Roma | Ῥώμης ἐγκώμιον
tlg0284.tlg015 | Elio Aristide | Primo discorso smirneo | Σμυρναϊκὸς πολιτικός
tlg0284.tlg016 | Elio Aristide | Discorso panegirico a Cizico per il tempio | Πανηγυρικὸς ἐν Κυζίκῳ περὶ τοῦ ναοῦ
tlg0284.tlg017 | Elio Aristide | Sul mare Egeo | Εἰς τὸ Αἰγαῖον πέλαγος
tlg0284.tlg018 | Elio Aristide | Sul pozzo di Asclepio | Εἰς τὸ φρέαρ τοῦ Ἀσκληπιοῦ
tlg0284.tlg019 | Elio Aristide | Discorso per Eleusi | Ἐλευσίνιος
