# LOTTO 01 — 56 opere, 1 autori
# riga: id | titolo così come sta oggi in catalogo

### Elio Aristide — greco, retorica, imperiale (56 opere)
tlg0284.tlg001 | Εἰς Δία
tlg0284.tlg002 | Ἀθηνᾶ
tlg0284.tlg003 | Ἰσθμικὸς εἰς Ποσειδῶνα
tlg0284.tlg004 | Διόνυσος
tlg0284.tlg005 | Ἰσθμικὸς εἰς Ποσειδῶνα
tlg0284.tlg006 | Λαλιὰ εἰς Ἀσκληπιόν
tlg0284.tlg007 | Ἀσκληπιάδαι
tlg0284.tlg008 | Εἰς τὸν Σάραπιν
tlg0284.tlg009 | Εἰς βασιλέα [sp.]
tlg0284.tlg010 | Ἀπελλᾶ γενεθλιακός
tlg0284.tlg011 | εἰς Ἐτεωνέα ἐπικήδειος
tlg0284.tlg012 | Ἐπὶ Ἀλεξάνδρῳ ἐπιτάφιος
tlg0284.tlg013 | Παναθηναϊκός
tlg0284.tlg014 | Ῥώμης ἐγκώμιον
tlg0284.tlg015 | Σμυρναϊκὸς πολιτικός
tlg0284.tlg016 | Πανηγυρικὸς ἐν Κυζίκῳ περὶ τοῦ ναοῦ
tlg0284.tlg017 | Εἰς τὸ Αἰγαῖον πέλαγος
tlg0284.tlg018 | Εἰς τὸ φρέαρ τοῦ Ἀσκληπιοῦ
tlg0284.tlg019 | Ἐλευσίνιος
tlg0284.tlg020 | Μονῳδία ἐπὶ Σμύρνῃ
tlg0284.tlg021 | Παλινῳδία ἐπὶ Σμύρνῃ καὶ τῷ ταύτης ἀνοικισμῷ
tlg0284.tlg022 | Προσφωνητικός Σμυρναϊκός
tlg0284.tlg023 | Ἱεροὶ λόγοι πρῶτος
tlg0284.tlg024 | Ἱεροὶ λόγοι δεύτερος
tlg0284.tlg025 | Ἱεροὶ λόγοι τρίτος
tlg0284.tlg026 | Ἱεροὶ λόγοι τέταρτος
tlg0284.tlg027 | Ἱεροὶ λόγοι πέμπτος
tlg0284.tlg028 | Ἱεροὶ λόγοι ἕκτος
tlg0284.tlg029 | Περὶ τοῦ πέμπειν βοήθειαν τοῖς ἐν Σικελίᾳ
tlg0284.tlg030 | Εἰς τὸ ἐναντίον
tlg0284.tlg031 | Ὑπὲρ τῆς πρὸς Λακεδαιμονίους εἰρήνης
tlg0284.tlg032 | Ὑπὲρ τῆς πρὸς Ἀθηναίους εἰρήνης
tlg0284.tlg033 | Λευκτρικὸς Α. (ὑπὲρ Λακεδαιμονίων πρῶτος)
tlg0284.tlg034 | Λευκτρικὸς Β. (ὑπὲρ Θηβαίων πρῶτος)
tlg0284.tlg035 | Λευκτρικὸς Γ. (ὑπὲρ Λακεδαιμονίων δεύτερος)
tlg0284.tlg036 | Λευκτρικὸς Δ. (ὑπὲρ Θηβαίων δεύτερος)
tlg0284.tlg037 | Λευκτρικὸς Ε. (ὑπὲρ μηδετέροις βοηθεῖν)
tlg0284.tlg038 | Συμμαχικὸς Α.
tlg0284.tlg039 | Συμμαχικὸς Β. (πρὸς Θηβαίους περὶ τῆς συμμαχίας)
tlg0284.tlg040 | Συμβουλευτικὸς περὶ τοῦ μὴ δεῖν κωμῳδεῖν
tlg0284.tlg041 | Ἐπιστολὴ περὶ Σμύρνης
tlg0284.tlg042 | Περὶ ὁμονοίας ταῖς πόλεσιν
tlg0284.tlg043 | Ῥοδιακός [sp.]
tlg0284.tlg044 | Ῥοδίοις περὶ ὁμονοίας
tlg0284.tlg045 | Πρὸς Πλάτωνα περὶ ῥητορικῆς
tlg0284.tlg046 | Πρὸς Πλάτωνα ὑπὲρ τῶν τεττάρων
tlg0284.tlg047 | Πρὸς Καπίτωνα
tlg0284.tlg048 | Αἰγύπτιος
tlg0284.tlg049 | Περὶ τοῦ παραφθέγματος
tlg0284.tlg050 | Κατὰ τῶν ἐξορχουμένων
tlg0284.tlg051 | Πρὸς τοὺς αἰτιωμένους ὅτι μὴ μελετῴη
tlg0284.tlg052 | Πρεσβευτικὸς πρὸς Ἀχιλλέα
tlg0284.tlg053 | Πρὸς Δημοσθένη περὶ ἀτελείας
tlg0284.tlg054 | Πρὸς Λεπτίνην ὑπὲρ ἀτελείας
tlg0284.tlg055 | Πανηγυρικὸς ἐπὶ τῷ ὕδατι ἐν Περγάμῳ
tlg0284.tlg056 | Περὶ πολιτικοῦ λόγου
